Number,ID,ID-Name,PlaceName,District,PositionX,PositionY,TypeScoring,Latitude,Longtitude
1,0001,A,ลานกีฬาโรงเรียนวัดคณิกาผล,เขตพระนคร-ป้อมปราบ,2,-1,B,13.74456656,100.5100228
2,0002,A,ลานกีฬาโรงเรียนวัดดิสานุการาม,เขตพระนคร-ป้อมปราบ,2.4,-1,B,13.74911723,100.5080232
3,0003,A,ลานกีฬาโรงเรียนวัดสิตาราม,เขตพระนคร-ป้อมปราบ,2.35,-1,B,13.75520239,100.5101207
4,0004,A,ลานกีฬาโรงเรียนวัดพระพิเรนทร์,เขตพระนคร-ป้อมปราบ,2.3,-1,B,13.74763442,100.5057952
6,0006,A,ลานกีฬากองกำกับการสวัสดิภาพเด็ก,เขตพระนคร-ป้อมปราบ,2,0,F,13.7571612,100.5068593
10,0010,A,สนามกีฬาโรงเรียนเทพศิรินทร์,เขตพระนคร-ป้อมปราบ,2.25,-1,B,13.74665696,100.5158393
11,0011,A,ลานกีฬาโรงเรียนวัดสระเกศ,เขตพระนคร-ป้อมปราบ,2.2,-1,B,13.75327569,100.5090931
12,0012,A,ลานกีฬาโรงเรียนวัดพลับพลาชัย,เขตพระนคร-ป้อมปราบ,2.15,-1,B,13.74576764,100.5130238
13,0013,A,ลานกีฬาโรงเรียนสายปัญญา,เขตพระนคร-ป้อมปราบ,2.1,-1,B,13.74309937,100.5152721
14,0014,A,ลานกีฬาโรงเรียนวัดโสมนัส,เขตพระนคร-ป้อมปราบ,2.05,-1,B,13.76104461,100.5114486
15,0015,A,ลานโรงเรียนสมานศึกษาวิทยา,เขตพระนคร-ป้อมปราบ,-2,-1,E,13.7476513,100.5093984
16,0016,A,ลานกีฬาโรงเรียนสตรีจุลนาค,เขตพระนคร-ป้อมปราบ,-1.6,-1,E,13.75732043,100.5088501
17,0017,A,ลานวัดสระเกศราชวรมหาวิหาร,เขตพระนคร-ป้อมปราบ,-1,0,H,13.75379255,100.5075781
18,0018,A,ลานวัดโสมนัสราชวรวิหาร,เขตพระนคร-ป้อมปราบ,-0.6,0,H,13.76148413,100.5108743
19,0019,A,ลานวัดเทพศิรินทราวาส,เขตพระนคร-ป้อมปราบ,-0.65,0,H,13.74703285,100.512731
20,0020,A,ลานวัดเทวีวรญาติ,เขตพระนคร-ป้อมปราบ,-0.7,0,H,13.74943853,100.5093093
21,0021,A,ลานวัดสุนทรธรรมทาน (วัดแค),เขตพระนคร-ป้อมปราบ,-0.75,0,H,13.75756464,100.5109027
22,0022,A,ลานวัดคณิกาผล,เขตพระนคร-ป้อมปราบ,-0.8,0,H,13.74431626,100.5100846
23,0023,A,ลานวัดสิตาราม (วัดคอกหมู),เขตพระนคร-ป้อมปราบ,-0.85,0,H,13.75551536,100.510279
24,0024,A,ลานวัดมังกรกมลาวาส (วัดเล่งเน่ยยี่),เขตพระนคร-ป้อมปราบ,-0.9,0,H,13.74349842,100.5095172
25,0025,A,ลานวัดพลับพลาชัย,เขตพระนคร-ป้อมปราบ,-0.95,0,H,13.74578245,100.5122541
26,0026,A,ลานวัดดิสานุการาม,เขตพระนคร-ป้อมปราบ,-1.05,0,H,13.74916669,100.5083534
27,0027,A,ลานวัดพระพิเรนทร์,เขตพระนคร-ป้อมปราบ,-1.1,0,H,13.74804289,100.5055734
28,0028,A,ลานเอนกประสงค์โรงพยาบาลกลาง,เขตพระนคร-ป้อมปราบ,2,-2,B,13.74665487,100.5096414
29,0029,A,สวนชุมชนมัสยิดมหานาค,เขตพระนคร-ป้อมปราบ,0,0,C,13.75207918,100.515198
30,0030,A,สวนในวังวรดิศ,เขตพระนคร-ป้อมปราบ,-1.65,-1,E,13.75593245,100.5133032
32,0032,A,สวนรมณีนาถ,เขตพระนคร-ป้อมปราบ,2.4,0,F,13.74910074,100.5028181
33,0033,A,สวนสราญรมย์,เขตพระนคร-ป้อมปราบ,2.35,0,F,13.74812004,100.4952753
34,0034,A,สวนสันติชัยปราการ,เขตพระนคร-ป้อมปราบ,2.3,0,F,13.763964,100.4952696
36,0036,A,สวนสันติพร,เขตพระนคร-ป้อมปราบ,2.25,0,F,13.75865607,100.4957466
37,0037,A,สวนสาธารณะป้อมมหากาฬ,เขตพระนคร-ป้อมปราบ,2.2,0,F,13.75491204,100.5054961
38,0038,A,สนามหลวง,เขตพระนคร-ป้อมปราบ,-1.15,0,H,13.75534588,100.4930209
39,0039,A,ลานอนุสรณ์ 14 ตุลา,เขตพระนคร-ป้อมปราบ,1,1,A,13.75681467,100.4990897
40,0040,A,ลานพิพิธบางลำภู,เขตพระนคร-ป้อมปราบ,2.15,0,F,13.76370331,100.4963047
41,0041,A,ลานคนเมือง,เขตพระนคร-ป้อมปราบ,2,1,A,13.75267647,100.5015091
42,0042,A,ลานกีฬาโรงเรียนราชนัดดา,เขตพระนคร-ป้อมปราบ,2.1,0,F,13.75549634,100.5038606
43,0043,A,ลานกีฬาโรงเรียนวัดบวรนิเวศ,เขตพระนคร-ป้อมปราบ,2.05,0,F,13.75948038,100.5017544
44,0044,A,ลานกีฬาโรงเรียนวัดมหาธาตุ,เขตพระนคร-ป้อมปราบ,1.95,0,F,13.75604228,100.4899231
45,0045,A,ลานกีฬาโรงเรียนวัดราชบูรณะ,เขตพระนคร-ป้อมปราบ,1.9,0,F,13.74297194,100.499383
46,0046,A,ลานกีฬามัสยิดจักรพงษ์,เขตพระนคร-ป้อมปราบ,-2,0,H,13.76182478,100.4968947
47,0047,A,สนามกีฬาโรงเรียนสวนกุหลาบ,เขตพระนคร-ป้อมปราบ,1.95,-1,B,13.74282533,100.4981961
48,0048,A,ลานโรงเรียนวัดราชบพิธ,เขตพระนคร-ป้อมปราบ,1.9,-1,B,13.74430234,100.4949583
49,0049,A,ลานกีฬาโรงเรียนราชินี,เขตพระนคร-ป้อมปราบ,-1.7,-1,E,13.74267264,100.4933033
51,0051,A,ลานศูนย์การค้าท่ามหาราข,เขตพระนคร-ป้อมปราบ,-1.6,0,H,13.75483286,100.488686
52,0052,A,ลานริมน้ำตลาดยอดพิมาน,เขตพระนคร-ป้อมปราบ,-1.65,0,H,13.74098293,100.4953598
53,0053,A,วัดพระศรีรัตนศาสดาราม,เขตพระนคร-ป้อมปราบ,-1,-1,E,13.75155923,100.4925384
54,0054,A,วัดพระเชตุพนวิมลมังคลาราม,เขตพระนคร-ป้อมปราบ,-1.2,0,H,13.74655308,100.4931554
55,0055,A,วัดสุทัศนเทพวราราม,เขตพระนคร-ป้อมปราบ,-1.25,0,H,13.7510086,100.5010139
56,0056,A,วัดราชบพิธสถิตมหาสีมาราม,เขตพระนคร-ป้อมปราบ,-1.3,0,H,13.74909807,100.4973031
58,0058,A,วัดบวรนิเวศวิหาร,เขตพระนคร-ป้อมปราบ,-1,0.4,H,13.76026196,100.4998066
59,0059,A,วัดเทพธิดาราม,เขตพระนคร-ป้อมปราบ,-0.6,0.4,H,13.75345361,100.5041585
60,0060,A,วัดอินทรวิหาร,เขตพระนคร-ป้อมปราบ,-0.65,0.4,H,13.76693766,100.5028601
61,0061,A,วัดมกุฏกษัตริยาราม,เขตพระนคร-ป้อมปราบ,-0.7,0.4,H,13.76410656,100.5066439
62,0062,A,วัดใหม่อมตรส,เขตพระนคร-ป้อมปราบ,-0.75,0.4,H,13.76443271,100.5015679
63,0063,A,วัดนรนารถสุนทริการาม,เขตพระนคร-ป้อมปราบ,-0.8,0.4,H,13.76963687,100.502833
64,0064,A,วัดเอี่ยมวรนุช,เขตพระนคร-ป้อมปราบ,-0.85,0.4,H,13.76624624,100.5009608
65,0065,A,วัดราชนัดดาราม,เขตพระนคร-ป้อมปราบ,-0.9,0.4,H,13.75486862,100.5041088
